log2FoldChange,pvalue,padj,LLgeneAbbrev
-0.454641492,0.000305658,0.049512289,xkrx
-0.368318926,0.000307518,0.049512289,ndrg3a
4.230099863,0.000311549,0.049843889,serpina1
0.475990627,0.000321098,0.051048455,fgfbp2b
0.392300688,0.000329976,0.052132026,dnajb1a
0.669588308,0.000357434,0.056119292,itpk1a
0.709869251,0.000362252,0.056417474,slc25a23a
-0.551727419,0.000364895,0.056417474,ambp
-0.430154128,0.000366028,0.056417474,slc25a38b
1.760988879,0.000372386,0.056983361,si:ch211-269k10.5
-0.411163126,0.000374208,0.056983361,proza
-0.439486022,0.000384507,0.058201005,zgc:113333
0.648126814,0.000390553,0.058764261,si:ch73-141c7.1
-0.482114807,0.000402722,0.060236679,fzd2
-0.36922419,0.000416196,0.061885914,rnf128a
-0.459629912,0.000428125,0.062594569,tcn2
3.773405909,0.000428678,0.062594569,XLOC_035742
-0.493924925,0.000430338,0.062594569,si:dkey-251i10.2
2.434745048,0.000430867,0.062594569,CU928129.1
-0.367930046,0.000446377,0.064477176,gpr37l1b
-0.557061555,0.000454638,0.065297381,rgs5a
1.760943651,0.000461207,0.065547304,si:ch211-125e6.5
0.579294467,0.000461564,0.065547304,fbn2b
0.608059458,0.000465531,0.065741355,SHKBP1
0.895253764,0.000468503,0.065793376,fosl1a
0.953750671,0.000473025,0.065887937,tg
0.600836239,0.000474389,0.065887937,rims4
0.497439768,0.000490556,0.067697723,spon2b
0.879083552,0.000492776,0.067697723,rgs2
-0.415360331,0.000504131,0.068673015,msl1a
0.663538182,0.000505308,0.068673015,gtpbp6
-0.393597838,0.000508401,0.068723909,spata20
0.929553315,0.000515243,0.069278269,alas2
0.762311798,0.000526132,0.070368118,kif15
2.173271226,0.000529479,0.070443011,CT573231.1
0.735109211,0.000533888,0.07062346,larp4ab
1.018945733,0.000536423,0.07062346,XLOC_018236
-0.487011214,0.000544674,0.071338154,ppm1db
0.71697871,0.000557054,0.072583586,si:ch211-114l13.1
0.779200015,0.000566079,0.073031535,abcf2a
-0.550799888,0.00056627,0.073031535,sema4e
-0.392426959,0.000571269,0.073302186,herc2
0.490703186,0.000583619,0.07450867,hsd17b12a
2.159756513,0.000599018,0.076090312,jac7
-0.495512186,0.00061937,0.078157738,gfra3
-0.485994219,0.000625076,0.078157738,meis3
4.838466715,0.000625698,0.078157738,XLOC_009787
0.741496103,0.000627661,0.078157738,BX248501.1
-0.639207375,0.000647751,0.080263942,tap2t
-0.467417485,0.000656994,0.081012173,ssr1
2.758557844,0.000666728,0.081813396,cdh28
-0.666472428,0.000673813,0.0822833,igfbp1b
0.749895913,0.000678806,0.082287468,higd1a
